Date,Price,Pct Change,,
4/1/1917,9.17,-1.50%,,
3/1/1917,9.31,3.10%,,
2/1/1917,9.03,-5.64%,,
1/1/1917,9.57,-2.35%,,
12/1/1916,9.8,-4.02%,,
11/1/1916,10.21,2.30%,,
10/1/1916,9.98,3.10%,,
9/1/1916,9.68,4.09%,,
8/1/1916,9.3,0.76%,,
7/1/1916,9.23,-1.39%,,
6/1/1916,9.36,0.97%,,
5/1/1916,9.27,2.21%,,
4/1/1916,9.07,-1.09%,,
3/1/1916,9.17,-0.33%,,
2/1/1916,9.2,-1.39%,,
1/1/1916,9.33,-1.58%,,
12/1/1915,9.48,0.21%,,
11/1/1915,9.46,3.50%,,
10/1/1915,9.14,5.54%,,
9/1/1915,8.66,3.71%,,
8/1/1915,8.35,4.24%,,
7/1/1915,8.01,-0.37%,,
6/1/1915,8.04,1.13%,,
5/1/1915,7.95,-2.33%,,
4/1/1915,8.14,7.53%,,
3/1/1915,7.57,2.57%,,
2/1/1915,7.38,-1.34%,,
1/1/1915,7.48,1.77%,,
12/1/1914,7.35,-4.30%,,
11/1/1914,7.68,0.00%,,
10/1/1914,7.68,0.00%,,
9/1/1914,7.68,0.00%,,
8/1/1914,7.68,0.00%,,
7/1/1914,7.68,-5.54%,,
6/1/1914,8.13,-0.49%,,
5/1/1914,8.17,0.62%,,
4/1/1914,8.12,-2.40%,,
3/1/1914,8.32,-1.89%,,
2/1/1914,8.48,1.31%,,
1/1/1914,8.37,4.10%,,
12/1/1913,8.04,-0.12%,,
11/1/1913,8.05,-2.54%,,
10/1/1913,8.26,-3.17%,,
9/1/1913,8.53,0.95%,,
8/1/1913,8.45,2.67%,,
7/1/1913,8.23,1.35%,,
6/1/1913,8.12,-5.03%,,
5/1/1913,8.55,-2.73%,,
4/1/1913,8.79,-0.11%,,
3/1/1913,8.8,-1.90%,,
2/1/1913,8.97,-3.55%,,
1/1/1913,9.3,-0.85%,,
12/1/1912,9.38,-3.60%,,
11/1/1912,9.73,-1.12%,,
10/1/1912,9.84,-0.20%,,
9/1/1912,9.86,0.51%,,
8/1/1912,9.81,2.29%,,
7/1/1912,9.59,0.10%,,
6/1/1912,9.58,0.00%,,
5/1/1912,9.58,-0.10%,,
4/1/1912,9.59,3.12%,,
3/1/1912,9.3,2.88%,,
2/1/1912,9.04,-0.88%,,
1/1/1912,9.12,0.11%,,
12/1/1911,9.11,0.44%,,
11/1/1911,9.07,4.01%,,
10/1/1911,8.72,0.58%,,
9/1/1911,8.67,-5.45%,,
8/1/1911,9.17,-4.78%,,
7/1/1911,9.63,-0.41%,,
6/1/1911,9.67,2.00%,,
5/1/1911,9.48,2.16%,,
4/1/1911,9.28,-0.43%,,
3/1/1911,9.32,-1.17%,,
2/1/1911,9.43,1.73%,,
1/1/1911,9.27,2.43%,,
12/1/1910,9.05,-2.79%,,
11/1/1910,9.31,-0.11%,,
10/1/1910,9.32,4.60%,,
9/1/1910,8.91,0.68%,,
8/1/1910,8.85,2.43%,,
7/1/1910,8.64,-5.05%,,
6/1/1910,9.1,-4.81%,,
5/1/1910,9.56,-1.65%,,
4/1/1910,9.72,-2.41%,,
3/1/1910,9.96,2.47%,,
2/1/1910,9.72,-3.57%,,
1/1/1910,10.08,-2.14%,,
12/1/1909,10.3,1.18%,,
11/1/1909,10.18,-0.49%,,
10/1/1909,10.23,0.39%,,
9/1/1909,10.19,0.10%,,
8/1/1909,10.18,2.41%,,
7/1/1909,9.94,1.43%,,
6/1/1909,9.8,1.77%,,
5/1/1909,9.63,3.33%,,
4/1/1909,9.32,4.48%,,
3/1/1909,8.92,1.36%,,
2/1/1909,8.8,-2.87%,,
1/1/1909,9.06,0.33%,,
12/1/1908,9.03,2.27%,,
11/1/1908,8.83,6.77%,,
10/1/1908,8.27,1.22%,,
9/1/1908,8.17,-1.09%,,
8/1/1908,8.26,4.29%,,
7/1/1908,7.92,3.66%,,
6/1/1908,7.64,0.13%,,
5/1/1908,7.63,5.39%,,
4/1/1908,7.24,5.39%,,
3/1/1908,6.87,4.09%,,
2/1/1908,6.6,-3.65%,,
1/1/1908,6.85,4.26%,,
12/1/1907,6.57,5.12%,,
11/1/1907,6.25,-5.87%,,
10/1/1907,6.64,-10.87%,,
9/1/1907,7.45,-1.06%,,
8/1/1907,7.53,-7.49%,,
7/1/1907,8.14,3.83%,,
6/1/1907,7.84,-3.21%,,
5/1/1907,8.1,-3.46%,,
4/1/1907,8.39,0.48%,,
3/1/1907,8.35,-9.83%,,
2/1/1907,9.26,-3.14%,,
1/1/1907,9.56,-2.85%,,
12/1/1906,9.84,-0.91%,,
11/1/1906,9.93,2.06%,,
10/1/1906,9.73,-2.99%,,
9/1/1906,10.03,3.08%,,
8/1/1906,9.73,7.40%,,
7/1/1906,9.06,-2.58%,,
6/1/1906,9.3,1.31%,,
5/1/1906,9.18,-2.65%,,
4/1/1906,9.43,-1.36%,,
3/1/1906,9.56,-2.45%,,
2/1/1906,9.8,-0.71%,,
1/1/1906,9.87,3.46%,,
12/1/1905,9.54,2.47%,,
11/1/1905,9.31,-0.53%,,
10/1/1905,9.36,1.41%,,
9/1/1905,9.23,0.33%,,
8/1/1905,9.2,3.72%,,
7/1/1905,8.87,3.14%,,
6/1/1905,8.6,1.18%,,
5/1/1905,8.5,-4.92%,,
4/1/1905,8.94,-1.22%,,
3/1/1905,9.05,2.84%,,
2/1/1905,8.8,4.39%,,
1/1/1905,8.43,2.18%,,
12/1/1904,8.25,0.98%,,
11/1/1904,8.17,5.42%,,
10/1/1904,7.75,5.87%,,
9/1/1904,7.32,4.42%,,
8/1/1904,7.01,3.39%,,
7/1/1904,6.78,4.15%,,
6/1/1904,6.51,0.15%,,
5/1/1904,6.5,-2.11%,,
4/1/1904,6.64,2.47%,,
3/1/1904,6.48,-0.31%,,
2/1/1904,6.5,-2.69%,,
1/1/1904,6.68,1.67%,,
12/1/1903,6.57,4.62%,,
11/1/1903,6.28,0.32%,,
10/1/1903,6.26,-3.25%,,
9/1/1903,6.47,-2.41%,,
8/1/1903,6.63,-3.21%,,
7/1/1903,6.85,-4.60%,,
6/1/1903,7.18,-5.53%,,
5/1/1903,7.6,-1.94%,,
4/1/1903,7.75,-4.08%,,
3/1/1903,8.08,-3.92%,,
2/1/1903,8.41,-0.59%,,
1/1/1903,8.46,5.09%,,
12/1/1902,8.05,-2.31%,,
11/1/1902,8.24,-3.85%,,
10/1/1902,8.57,-3.16%,,
9/1/1902,8.85,0.23%,,
8/1/1902,8.83,2.67%,,
7/1/1902,8.6,2.26%,,
6/1/1902,8.41,-0.59%,,
5/1/1902,8.46,-0.24%,,
4/1/1902,8.48,3.41%,,
3/1/1902,8.2,0.12%,,
2/1/1902,8.19,0.86%,,
1/1/1902,8.12,2.14%,,
12/1/1901,7.95,-1.61%,,
11/1/1901,8.08,2.15%,,
10/1/1901,7.91,-1.13%,,
9/1/1901,8,-0.50%,,
8/1/1901,8.04,1.39%,,
7/1/1901,7.93,-6.71%,,
6/1/1901,8.5,9.96%,,
5/1/1901,7.73,-5.04%,,
4/1/1901,8.14,8.39%,,
3/1/1901,7.51,3.59%,,
2/1/1901,7.25,2.55%,,
1/1/1901,7.07,2.91%,,
12/1/1900,6.87,6.02%,,
11/1/1900,6.48,7.82%,,
10/1/1900,6.01,3.62%,,
9/1/1900,5.8,-2.36%,,
8/1/1900,5.94,1.37%,,
7/1/1900,5.86,0.00%,,
6/1/1900,5.86,-2.98%,,
5/1/1900,6.04,-4.73%,,
4/1/1900,6.34,1.28%,,
3/1/1900,6.26,0.81%,,
2/1/1900,6.21,1.80%,,
1/1/1900,6.1,,,
